,Mun,UF,Atingido_Alagamentos,Atingido_Des,Atingido_Enchente,Atingido_Enxurrada,Nao_ATV_P&DC,Nao_Instr_Inundacao,Nao_Medida_Estrutural_RRD,Nao_RR_Seca,Nao_Red_Des,Nao_Red_Enchente,Nao_Red_Enxurrada,Tem_Instr_Deslizamento,Tem_Red_Des
43,Primavera de Rondônia,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
44,São Felipe DOeste,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
45,São Francisco do Guaporé,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
46,Seringueiras,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
47,Teixeirópolis,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
48,Theobroma,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Urupá,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
50,Vale do Anari,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Vale do Paraíso,RO,1,0,1,1,0,1,0,0,0,0,0,0,0
52,Acrelândia,AC,0,0,0,0,0,1,0,0,0,0,0,1,0
53,Assis Brasil,AC,1,0,0,0,0,0,0,0,0,0,0,0,0
54,Brasiléia,AC,1,0,0,0,0,0,0,0,0,0,0,1,1
55,Bujari,AC,0,0,0,0,0,1,0,0,0,0,0,0,0
56,Capixaba,AC,1,0,1,1,0,1,0,0,0,1,0,0,0
57,Cruzeiro do Sul,AC,0,0,0,1,0,0,1,0,0,0,1,0,0
58,Epitaciolândia,AC,0,1,1,0,0,0,0,0,0,1,0,1,1
59,Feijó,AC,0,1,0,0,0,0,0,0,0,0,0,1,1
60,Jordão,AC,0,0,1,0,0,0,0,0,0,0,0,0,0
61,Mâncio Lima,AC,1,0,1,0,0,0,0,0,0,0,0,1,1
62,Manoel Urbano,AC,0,0,0,0,0,1,0,0,0,0,0,0,0
63,Marechal Thaumaturgo,AC,1,1,1,0,0,0,0,0,0,0,0,1,1
64,Plácido de Castro,AC,0,0,0,0,0,1,0,0,0,0,0,0,0
65,Porto Walter,AC,1,1,1,1,0,0,0,0,0,0,0,1,1
66,Rio Branco,AC,1,1,1,1,0,0,0,0,0,0,0,1,1
67,Rodrigues Alves,AC,1,0,0,1,0,0,0,0,0,0,1,1,1
68,Santa Rosa do Purus,AC,1,0,1,0,0,0,0,0,0,0,0,1,1
69,Senador Guiomard,AC,0,0,0,0,0,1,0,0,0,0,0,0,0
70,Sena Madureira,AC,1,0,1,1,0,0,0,0,0,0,1,1,1
71,Tarauacá,AC,1,1,1,0,0,0,0,0,1,1,0,1,1
72,Xapuri,AC,0,0,0,0,0,0,0,0,0,0,0,1,1
73,Porto Acre,AC,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Alvarães,AM,1,0,1,1,0,0,0,0,0,1,1,1,1
75,Amaturá,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
76,Anamã,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
77,Anori,AM,1,0,1,0,0,0,0,0,0,1,0,0,0
78,Apuí,AM,0,0,0,0,0,1,0,0,0,0,0,1,1
79,Atalaia do Norte,AM,0,1,1,0,0,0,0,0,1,1,0,1,1
80,Autazes,AM,1,0,0,0,0,0,0,1,0,0,0,1,1
81,Barcelos,AM,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Barreirinha,AM,1,0,1,0,0,0,0,0,0,0,0,0,0
83,Benjamin Constant,AM,1,0,1,0,0,0,0,0,0,1,0,1,1
84,Beruri,AM,1,0,1,0,0,0,0,0,0,1,0,0,0
85,Boa Vista do Ramos,AM,1,1,1,0,0,0,0,0,0,0,0,1,1
86,Boca do Acre,AM,1,1,1,1,0,0,0,0,1,1,1,1,1
87,Borba,AM,1,1,1,0,0,0,0,0,1,1,0,1,1
88,Caapiranga,AM,1,0,1,0,0,0,0,0,0,0,0,0,0
89,Canutama,AM,0,0,1,0,0,0,0,1,0,1,0,1,1
90,Carauari,AM,1,1,1,0,0,0,0,0,0,0,0,1,1
91,Careiro,AM,1,0,1,0,0,0,0,1,0,1,0,1,1
92,Careiro da Várzea,AM,1,1,1,0,0,0,0,0,1,1,0,1,1
93,Coari,AM,1,0,1,0,0,0,0,0,0,1,0,1,1
94,Codajás,AM,1,0,0,0,0,0,0,1,0,0,0,1,0
95,Eirunepé,AM,1,0,1,0,0,0,0,0,0,1,0,0,0
96,Envira,AM,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Fonte Boa,AM,1,1,0,0,0,0,0,0,0,0,0,0,1
98,Guajará,AM,1,0,1,1,0,0,0,0,0,0,0,0,0
99,Humaitá,AM,1,0,0,0,0,0,0,0,0,0,0,1,1
100,Ipixuna,AM,1,0,1,0,0,0,0,0,0,1,0,0,0
101,Iranduba,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
102,Itacoatiara,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
103,Itamarati,AM,1,0,1,1,0,0,0,0,0,1,1,1,1
104,Itapiranga,AM,0,1,0,0,0,0,0,0,0,0,0,0,1
105,Japurá,AM,1,0,1,0,0,0,1,0,0,1,0,0,0
106,Juruá,AM,1,1,1,0,0,0,0,0,0,0,0,1,1
107,Jutaí,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
108,Lábrea,AM,0,0,0,0,0,0,0,0,0,0,0,1,1
109,Manacapuru,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
110,Manaquiri,AM,1,1,1,0,0,0,0,0,1,1,0,1,1
111,Manaus,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
112,Manicoré,AM,1,1,1,1,0,0,1,0,1,1,0,1,1
113,Maraã,AM,1,0,1,0,0,0,0,1,0,1,0,1,1
114,Maués,AM,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Nhamundá,AM,0,0,0,0,1,1,0,0,0,0,0,0,0
116,Nova Olinda do Norte,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
117,Novo Airão,AM,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Novo Aripuanã,AM,1,0,1,0,0,0,0,0,0,0,0,1,1
119,Parintins,AM,1,1,1,1,0,0,0,0,0,1,0,1,1
120,Pauini,AM,1,0,1,0,0,0,0,0,0,0,0,1,1
121,Presidente Figueiredo,AM,0,0,0,0,0,0,0,0,0,0,0,1,1
122,Rio Preto da Eva,AM,0,0,0,0,0,1,0,0,0,0,0,0,0
123,Santa Isabel do Rio Negro,AM,1,0,1,1,0,0,0,0,0,0,0,0,0
124,Santo Antônio do Içá,AM,0,0,0,0,0,0,0,0,0,0,0,1,1
125,São Gabriel da Cachoeira,AM,1,0,1,1,0,0,0,0,0,0,0,1,1
126,São Paulo de Olivença,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
127,São Sebastião do Uatumã,AM,0,0,1,0,0,0,0,0,0,0,0,0,0
128,Silves,AM,1,0,0,0,0,1,1,1,0,0,0,0,0
129,Tabatinga,AM,1,0,1,0,0,0,0,0,0,0,0,1,1
130,Tapauá,AM,1,1,0,0,0,0,0,0,0,0,0,1,1
131,Tefé,AM,1,1,1,1,0,0,0,0,0,0,0,1,1
132,Tonantins,AM,0,1,0,0,0,0,0,0,0,0,0,1,1
133,Uarini,AM,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Urucará,AM,1,0,1,0,0,0,0,0,0,1,0,0,0
135,Urucurituba,AM,1,1,1,0,0,0,0,0,0,0,0,1,1
136,Amajari,RR,1,0,1,1,0,0,0,0,0,1,1,0,0
137,Alto Alegre,RR,0,0,0,0,1,1,0,0,0,0,0,0,0
138,Boa Vista,RR,1,0,1,1,0,0,0,0,0,0,0,1,1
139,Bonfim,RR,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Cantá,RR,0,0,1,0,0,0,0,0,0,0,0,0,0
141,Caracaraí,RR,0,0,1,0,0,0,0,0,0,0,0,0,0
142,Caroebe,RR,0,0,1,1,0,0,0,0,0,0,0,1,1
143,Iracema,RR,0,0,0,0,0,1,0,0,0,0,0,0,0
144,Mucajaí,RR,0,0,0,0,0,1,0,0,0,0,0,0,0
145,Normandia,RR,0,0,1,0,0,0,0,0,0,0,0,1,1
146,Pacaraima,RR,0,0,0,0,0,1,0,0,0,0,0,0,0
147,Rorainópolis,RR,1,0,1,0,0,0,1,0,0,0,0,0,0
148,São João da Baliza,RR,0,0,0,0,1,1,0,0,0,0,0,0,0
149,São Luiz,RR,0,0,0,0,0,1,0,0,0,0,0,0,0
150,Uiramutã,RR,1,0,1,1,0,0,0,0,0,0,0,1,1
151,Abaetetuba,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
152,Abel Figueiredo,PA,1,0,1,1,0,1,0,0,0,0,0,0,0
153,Acará,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Afuá,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
155,Água Azul do Norte,PA,1,0,1,1,0,1,0,0,0,0,0,1,1
156,Alenquer,PA,1,1,1,1,0,0,0,1,1,1,1,1,1
157,Almeirim,PA,1,0,1,0,0,0,0,0,0,1,0,1,1
158,Altamira,PA,1,0,1,1,0,0,0,0,0,0,0,0,0
159,Anajás,PA,0,0,1,0,0,1,0,0,0,1,0,0,0
160,Ananindeua,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Anapu,PA,0,0,0,0,1,1,0,0,0,0,0,0,0
162,Augusto Corrêa,PA,1,0,1,1,1,1,0,0,0,1,1,0,0
163,Aurora do Pará,PA,0,0,0,0,1,1,0,0,0,0,0,0,0
164,Aveiro,PA,1,0,1,0,0,0,0,0,0,0,0,1,1
165,Bagre,PA,0,0,1,0,1,1,0,0,0,1,0,0,0
166,Baião,PA,0,0,0,0,1,1,0,0,0,0,0,1,1
167,Bannach,PA,1,0,1,1,0,0,0,0,0,0,0,0,0
168,Barcarena,PA,0,0,0,1,0,0,0,0,0,0,0,1,1
169,Belém,PA,1,1,1,1,0,0,0,0,0,0,0,1,1
170,Belterra,PA,0,0,0,1,0,0,0,0,0,0,0,0,0
171,Benevides,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
172,Bom Jesus do Tocantins,PA,0,0,1,1,0,0,0,0,0,0,0,0,0
173,Bonito,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
174,Bragança,PA,1,1,1,1,0,0,0,0,0,0,0,1,1
175,Brasil Novo,PA,1,1,0,1,0,1,0,0,1,0,1,0,0
176,Brejo Grande do Araguaia,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
177,Breu Branco,PA,0,0,0,0,1,1,1,0,0,0,0,1,1
178,Breves,PA,1,0,1,1,0,1,0,0,0,1,1,0,0
179,Bujaru,PA,1,0,1,0,0,0,0,0,0,1,0,0,0
180,Cachoeira do Piriá,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
181,Cachoeira do Arari,PA,1,1,1,1,0,0,0,0,0,0,0,1,1
182,Cametá,PA,0,0,0,0,1,1,0,0,0,0,0,0,0
183,Canaã dos Carajás,PA,0,0,1,0,1,0,0,0,0,0,0,1,1
184,Capanema,PA,1,0,0,1,0,0,0,0,0,0,0,0,0
185,Capitão Poço,PA,1,0,1,1,0,0,0,0,0,0,0,0,0
186,Castanhal,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Chaves,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
188,Colares,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Conceição do Araguaia,PA,1,1,1,1,0,0,0,0,0,1,0,1,1
190,Concórdia do Pará,PA,1,0,1,1,0,0,0,0,0,0,1,0,0
191,Cumaru do Norte,PA,0,0,1,0,0,1,0,0,0,0,0,0,0
192,Curionópolis,PA,0,0,0,0,1,0,0,0,0,0,0,0,0
193,Curralinho,PA,0,0,0,0,1,1,0,0,0,0,0,1,1
194,Curuá,PA,0,0,1,0,0,0,0,0,0,0,0,1,1
195,Curuçá,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
196,Dom Eliseu,PA,0,1,0,0,0,0,0,0,0,0,0,1,1
197,Eldorado do Carajás,PA,1,0,1,1,0,0,0,0,0,1,0,1,1
198,Faro,PA,1,0,1,0,0,0,0,0,0,0,0,0,0
199,Floresta do Araguaia,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Garrafão do Norte,PA,1,0,0,1,0,0,0,0,0,0,0,1,1
201,Goianésia do Pará,PA,1,0,1,1,0,0,0,0,0,0,1,0,0
202,Gurupá,PA,0,0,1,0,0,1,0,0,0,0,0,0,0
203,Igarapé-Açu,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
204,Igarapé-Miri,PA,0,0,1,0,1,1,0,0,0,1,0,0,0
205,Inhangapi,PA,1,0,1,1,0,1,0,0,0,1,1,0,0
206,Ipixuna do Pará,PA,1,0,1,1,0,0,0,0,0,0,0,0,0
207,Irituia,PA,1,0,1,0,0,0,0,0,0,0,0,1,1
208,Itaituba,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
209,Itupiranga,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
210,Jacareacanga,PA,1,0,0,1,0,0,0,0,0,0,1,1,1
211,Jacundá,PA,1,0,0,1,0,0,1,0,0,0,0,0,0
212,Juruti,PA,0,1,1,0,0,0,0,0,0,1,0,1,1
213,Limoeiro do Ajuru,PA,0,0,0,0,1,1,0,0,0,0,0,0,0
214,Mãe do Rio,PA,1,0,1,0,0,0,0,0,0,0,0,1,1
215,Magalhães Barata,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
216,Marabá,PA,1,1,1,0,0,0,0,0,0,0,0,1,1
217,Maracanã,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Marapanim,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
219,Marituba,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
220,Medicilândia,PA,1,0,0,0,0,0,0,0,0,0,0,1,1
221,Melgaço,PA,1,0,1,0,0,1,0,0,0,1,0,0,0
222,Mocajuba,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Moju,PA,0,0,0,0,1,1,1,0,0,0,0,0,0
224,Mojuí dos Campos,PA,1,0,1,1,0,1,0,0,0,0,0,0,0
225,Monte Alegre,PA,1,1,1,1,0,0,0,0,0,0,0,1,1
226,Muaná,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
227,Nova Esperança do Piriá,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
228,Nova Ipixuna,PA,1,0,1,1,0,0,0,0,0,0,1,1,1
229,Nova Timboteua,PA,0,0,0,0,0,0,0,0,0,0,0,1,0
230,Novo Progresso,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
231,Novo Repartimento,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
232,Óbidos,PA,1,1,1,1,0,0,0,0,0,0,0,1,1
233,Oeiras do Pará,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Oriximiná,PA,0,1,1,1,0,0,0,0,0,1,0,1,1
235,Ourém,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
236,Ourilândia do Norte,PA,0,0,0,0,0,1,0,0,0,0,0,1,1
237,Pacajá,PA,0,0,1,1,0,0,0,0,0,0,0,0,0
238,Palestina do Pará,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
239,Paragominas,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
240,Parauapebas,PA,1,1,1,1,0,0,0,0,0,0,0,1,1
241,Pau DArco,PA,1,0,1,0,0,0,0,0,0,0,0,1,1
242,Peixe-Boi,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
243,Piçarra,PA,1,0,1,1,0,0,0,0,0,0,0,1,0
244,Placas,PA,1,1,1,1,0,0,0,0,0,1,1,1,1
245,Ponta de Pedras,PA,0,1,1,0,0,1,0,0,1,1,0,0,0
246,Portel,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
247,Porto de Moz,PA,0,0,1,0,0,0,0,0,0,0,0,1,1
248,Prainha,PA,1,0,1,1,0,0,0,0,0,1,0,0,0
249,Primavera,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
250,Quatipuru,PA,0,1,0,0,0,1,1,0,0,0,0,0,1
251,Redenção,PA,1,1,0,1,0,0,0,0,0,0,0,1,1
252,Rio Maria,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
253,Rondon do Pará,PA,1,1,1,0,0,0,0,0,0,1,0,1,1
254,Rurópolis,PA,0,0,0,1,0,0,0,0,0,0,0,1,1
255,Salinópolis,PA,0,1,0,0,0,1,0,0,0,0,0,1,1
256,Salvaterra,PA,1,0,0,0,1,0,1,0,0,0,0,1,1
257,Santa Bárbara do Pará,PA,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Santa Cruz do Arari,PA,1,0,1,0,0,1,0,0,0,1,0,0,0
259,Santa Izabel do Pará,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
260,Santa Luzia do Pará,PA,0,0,0,0,0,0,0,0,0,0,0,1,1
261,Santa Maria das Barreiras,PA,1,0,1,1,0,1,0,0,0,1,1,0,0
262,Santa Maria do Pará,PA,0,0,0,0,0,1,0,0,0,0,0,1,1
263,Santana do Araguaia,PA,0,0,0,0,0,0,1,0,0,0,0,1,1
264,Santarém,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
265,Santarém Novo,PA,0,0,1,1,0,1,0,0,0,0,0,0,0
266,Santo Antônio do Tauá,PA,1,0,0,0,0,0,0,0,0,0,0,1,0
267,São Caetano de Odivelas,PA,0,0,0,0,0,0,0,0,0,0,0,1,1
268,São Domingos do Araguaia,PA,0,0,0,0,0,0,0,0,0,0,0,1,1
269,São Domingos do Capim,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
270,São Félix do Xingu,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
271,São Francisco do Pará,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
272,São Geraldo do Araguaia,PA,1,0,1,0,0,0,1,0,0,1,0,1,1
273,São João da Ponta,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
274,São João de Pirabas,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
275,São João do Araguaia,PA,0,0,1,0,1,0,0,0,0,0,0,1,0
276,São Miguel do Guamá,PA,1,0,1,0,0,0,0,0,0,0,0,1,1
277,São Sebastião da Boa Vista,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
278,Sapucaia,PA,0,0,1,0,0,1,0,0,0,1,0,0,0
279,Senador José Porfírio,PA,0,0,1,1,0,1,0,0,0,0,0,1,1
280,Soure,PA,0,0,0,0,1,0,0,0,0,0,0,0,0
281,Tailândia,PA,1,0,0,0,0,1,0,0,0,0,0,0,0
282,Terra Alta,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
283,Terra Santa,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
284,Tomé-Açu,PA,0,0,1,0,0,1,0,0,0,1,0,0,0
285,Tracuateua,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
286,Trairão,PA,1,0,1,0,1,0,0,1,0,0,0,1,1
287,Tucumã,PA,1,1,1,1,0,1,0,0,1,0,0,0,0
288,Tucuruí,PA,1,1,1,1,0,0,0,0,0,1,0,1,1
289,Ulianópolis,PA,0,0,0,0,0,1,0,0,0,0,0,0,0
290,Uruará,PA,1,0,1,1,0,1,0,0,0,0,0,0,0
291,Vigia,PA,1,1,1,1,1,0,0,0,1,0,0,0,0
292,Viseu,PA,1,0,1,1,0,0,0,0,0,0,0,1,0
293,Vitória do Xingu,PA,1,0,1,1,0,0,0,0,0,0,0,1,1
294,Xinguara,PA,1,1,1,1,0,0,0,0,1,0,0,1,1
295,Serra do Navio,AP,0,0,0,0,0,1,0,0,0,0,0,0,0
296,Amapá,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Pedra Branca do Amapari,AP,0,0,0,0,0,0,0,0,0,0,0,1,1
298,Calçoene,AP,1,0,1,1,0,0,0,0,0,1,1,0,0
299,Cutias,AP,0,0,0,0,0,1,1,0,0,0,0,0,0
300,Ferreira Gomes,AP,0,0,0,0,0,0,0,0,0,0,0,1,1
301,Itaubal,AP,0,0,0,0,0,1,0,0,0,0,0,0,0
302,Laranjal do Jari,AP,1,0,1,0,0,0,0,0,0,0,0,1,1
303,Macapá,AP,1,1,1,0,0,0,0,0,0,0,0,1,1
304,Mazagão,AP,0,0,0,0,0,1,0,0,0,0,0,0,0
305,Oiapoque,AP,0,0,0,0,0,0,0,0,0,0,0,1,1
306,Porto Grande,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Pracuúba,AP,0,0,0,0,0,1,0,0,0,0,0,0,0
308,Santana,AP,0,0,0,0,0,0,0,0,0,0,0,1,1
309,Tartarugalzinho,AP,0,0,0,0,0,1,0,0,0,0,0,0,0
310,Vitória do Jari,AP,1,0,1,0,0,0,0,0,0,0,0,1,1
311,Abreulândia,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
312,Aguiarnópolis,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Aliança do Tocantins,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
314,Almas,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
315,Alvorada,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Ananás,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
317,Angico,TO,0,0,1,0,0,0,0,0,0,1,0,1,1
318,Aparecida do Rio Negro,TO,0,0,0,0,1,1,0,0,0,0,0,0,0
319,Aragominas,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Araguacema,TO,0,0,0,0,1,1,0,0,0,0,0,0,0
321,Araguaçu,TO,0,0,0,0,1,1,0,0,0,0,0,0,0
322,Araguaína,TO,1,0,1,0,0,0,0,0,0,0,0,1,1
323,Araguanã,TO,1,0,1,1,0,0,0,0,0,1,1,1,1
324,Araguatins,TO,1,0,1,1,0,0,0,0,0,0,0,0,0
325,Arapoema,TO,0,0,0,0,1,1,0,0,0,0,0,1,1
326,Arraias,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Augustinópolis,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
328,Aurora do Tocantins,TO,0,0,1,0,0,1,0,0,0,0,0,0,0
329,Axixá do Tocantins,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Babaçulândia,TO,1,0,1,0,0,0,0,0,0,0,0,1,1
331,Bandeirantes do Tocantins,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
332,Barra do Ouro,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Barrolândia,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Bernardo Sayão,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
335,Bom Jesus do Tocantins,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
336,Brasilândia do Tocantins,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
337,Brejinho de Nazaré,TO,0,0,0,0,1,1,0,0,0,0,0,0,0
338,Buriti do Tocantins,TO,0,0,0,1,0,0,0,0,0,0,0,0,0
339,Cachoeirinha,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
340,Campos Lindos,TO,0,1,0,0,0,1,0,0,0,0,0,0,1
341,Cariri do Tocantins,TO,0,0,0,0,1,1,0,0,0,0,0,0,0
342,Carmolândia,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Carrasco Bonito,TO,1,1,1,1,0,0,0,0,0,1,1,0,1
344,Caseara,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Centenário,TO,0,0,0,0,0,1,0,0,0,0,0,0,0
346,Chapada de Areia,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Chapada da Natividade,TO,0,0,0,0,1,1,0,0,0,0,0,0,0
348,Colinas do Tocantins,TO,1,1,1,1,0,0,0,0,0,0,0,1,1
349,Combinado,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
350,Conceição do Tocantins,TO,0,0,0,0,0,0,0,0,0,0,0,0,0
351,Couto Magalhães,TO,0,0,0,0,1,1,1,0,0,0,0,0,0
