,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
476,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
504,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Orgs_RRD', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
522,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_ATV_P&DC', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
530,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Instr_Municipais', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
658,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_Orgs_RRD', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
673,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
679,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_Instr_Municipais', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
694,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'Nao_Tem_Orgs_RRD', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
701,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_Orgs_RRD', 'Nao_Tem_Instr_Municipais', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
708,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'Nao_Tem_Instr_Municipais', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
808,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
851,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_ATV_P&DC', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
868,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
913,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'TO', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
931,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
949,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1091,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1104,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1117,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1130,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1242,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_ATV_P&DC', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1281,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1321,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_ATV_P&DC', 'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1360,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1428,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
1511,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
